words_to_filter
county
city
board
director
commission
department
county code
county ordinance
manager
agency
council
state
chairperson
committee
administrator
official
clerk
officer
employee
county employee
code
division
government
federal government
person
landmark
physician
public utility
school
public school
school district
veterinarian
authority
bureau
office
public office
governing body
legislative body
executive body
advisory body
task force
panel
staff
personnel
workforce
administration
public agency
law enforcement
public works
housing authority
oversight body
review board
inspector
examiner
supervisor
legal counsel
attorney
county counsel
public defender
prosecutor
judge
magistrate
court
tribunal
hearing
proceeding
regulation
ordinance
statute
rule
policy
program
service
function
unit
section
subsection
article
chapter
title
subdivision
district
zone
area
region
jurisdiction
territory
precinct
ward
facility
building
property
infrastructure
utility
role
position
post
officeholder
appointee
designee
